Location,Pincode,State,District
Pahar Ganj ,110055,DELHI,NEW DELHI
Pandara Road ,110003,DELHI,NEW DELHI
Parliament House ,110001,DELHI,NEW DELHI
Patel Nagar East ,110008,DELHI,NEW DELHI
Patel Nagar ,110008,DELHI,NEW DELHI
Patel Nagar South ,110008,DELHI,NEW DELHI
Patel Nagar West ,110008,DELHI,NEW DELHI
Patiala House ,110001,DELHI,NEW DELHI
Pragati Maidan ,110001,DELHI,NEW DELHI
Rail Bhawan ,110001,DELHI,NEW DELHI
Rajender Nagar ,110060,DELHI,NEW DELHI
Rajghat Power House ,110002,DELHI,NEW DELHI
Rashtrapati Bhawan ,110004,DELHI,NEW DELHI
Sansad Marg ,110001,DELHI,NEW DELHI
Sansadiya Soudh ,110001,DELHI,NEW DELHI
Sat Nagar ,110005,DELHI,NEW DELHI
Secretariat North ,110001,DELHI,NEW DELHI
Shastri Bhawan ,110001,DELHI,NEW DELHI
South Avenue ,110011,DELHI,NEW DELHI
Supreme Court ,110001,DELHI,NEW DELHI
Swami Ram Tirth Nagar ,110055,DELHI,NEW DELHI
Udyog Bhawan ,110011,DELHI,NEW DELHI
Union Public Service Commissio ,110069,DELHI,NEW DELHI
Babarpur ,110032,DELHI,.
Brahampuri ,110053,DELHI,.
Anand Vihar ,110092,DELHI,DELHI EAST
Azad Nagar ,110051,DELHI,DELHI EAST
Chilla ,110091,DELHI,DELHI EAST
Distt. Court (KKD) ,110032,DELHI,DELHI EAST
Gandhi Nagar Bazar ,110031,DELHI,DELHI EAST
Gandhi Nagar ,110031,DELHI,DELHI EAST
Geeta Colony ,110031,DELHI,DELHI EAST
Ghazipur ,110096,DELHI,DELHI EAST
Govind Pura ,110051,DELHI,DELHI EAST
Himmatpuri ,110091,DELHI,DELHI EAST
Kailash Nagar ,110031,DELHI,DELHI EAST
Kalyanpuri ,110091,DELHI,DELHI EAST
Kalyanvas ,110091,DELHI,DELHI EAST
Krishna Nagar ,110051,DELHI,DELHI EAST
Laxmi Nagar ,110092,DELHI,DELHI EAST
Mandawali Fazalpur ,110092,DELHI,DELHI EAST
Mayur Vihar Ph-I ,110091,DELHI,DELHI EAST
Mayur Vihar Ph-III ,110096,DELHI,DELHI EAST
Nirman Vihar ,110092,DELHI,DELHI EAST
Patparganj ,110091,DELHI,DELHI EAST
Raghubar Pura ,110031,DELHI,DELHI EAST
Rajgarh Colony ,110031,DELHI,DELHI EAST
Ram Nagar ,110051,DELHI,DELHI EAST
Shakarpur ,110092,DELHI,DELHI EAST
Shastri Nagar ,110031,DELHI,DELHI EAST
Surajmal Vihar ,110092,DELHI,DELHI EAST
Trilok Puri ,110091,DELHI,DELHI EAST
V.K. Nagar ,110095,DELHI,DELHI EAST
Vasundhra Enclave ,110096,DELHI,DELHI EAST
Vishwas Nagar ,110032,DELHI,DELHI EAST
Vivek Vihar ,110095,DELHI,DELHI EAST
Yozna Vihar ,110092,DELHI,DELHI EAST
Balbir Nagar ,110032,DELHI,DELHI NORTH EAST
Bhajan Pura ,110053,DELHI,DELHI NORTH EAST
Bhola Nath Nagar ,110032,DELHI,DELHI NORTH EAST
Dayalpur ,110094,DELHI,DELHI NORTH EAST
Dilshad Garden ,110095,DELHI,DELHI NORTH EAST
G.T.B. Hospital ,110095,DELHI,DELHI NORTH EAST
Ghonda ,110053,DELHI,DELHI NORTH EAST
Gokal Puri ,110094,DELHI,DELHI NORTH EAST
Goverdhan Bihari Colony ,110032,DELHI,DELHI NORTH EAST
Jafrabad ,110053,DELHI,DELHI NORTH EAST
Jagjit Nagar ,110053,DELHI,DELHI NORTH EAST
Jhilmil ,110095,DELHI,DELHI NORTH EAST
Jhilmil Tahirpur ,110095,DELHI,DELHI NORTH EAST
Johripur ,110094,DELHI,DELHI NORTH EAST
Karawal Nagar ,110094,DELHI,DELHI NORTH EAST
Khazuri Khas ,110094,DELHI,DELHI NORTH EAST
Loni Road Housing Complex ,110093,DELHI,DELHI NORTH EAST
Loni Road ,110032,DELHI,DELHI NORTH EAST
Man Sarovar Park ,110032,DELHI,DELHI NORTH EAST
Mandoli Saboli ,110093,DELHI,DELHI NORTH EAST
Maujpur ,110053,DELHI,DELHI NORTH EAST
"Nand Nagri ""A"" ",110093,DELHI,DELHI NORTH EAST
"Nand Nagri ""C"" ",110093,DELHI,DELHI NORTH EAST
New Seemapuri ,110095,DELHI,DELHI NORTH EAST
New Usmanpur ,110053,DELHI,DELHI NORTH EAST
Old Seemapuri ,110095,DELHI,DELHI NORTH EAST
Rohtash Nagar ,110032,DELHI,DELHI NORTH EAST
Sabhapur ,110094,DELHI,DELHI NORTH EAST
Seelampur ,110053,DELHI,DELHI NORTH EAST
Shahdara Mandi ,110032,DELHI,DELHI NORTH EAST
Shahdara ,110032,DELHI,DELHI NORTH EAST
Shivaji Park ,110032,DELHI,DELHI NORTH EAST
Sonia Vihar ,110094,DELHI,DELHI NORTH EAST
Telewara ,110032,DELHI,DELHI NORTH EAST
Yamuna Vihar ,110053,DELHI,DELHI NORTH EAST
F F C Okhla ,110020,DELHI,NEW DELHI
New Delhi G.P.O. ,110001,DELHI,New Delhi
New Delhi ,110001,DELHI,NEW DELHI
Baratooti ,110006,DELHI,.
Jawahar Nagar ,110007,DELHI,.
Rana Pratap Bagh ,110007,DELHI,.
Birla Lines ,110007,DELHI,DELHI
Burari ,110084,DELHI,DELHI
C.C.I. ,110007,DELHI,DELHI
Chandni Chowk ,110006,DELHI,DELHI
Chawri Bazar ,110006,DELHI,DELHI
Civil Lines ,110054,DELHI,DELHI
Dareeba ,110006,DELHI,DELHI
Delhi G.P.O. ,110006,DELHI,Delhi
Delhi Sadar Bazar ,110006,DELHI,DELHI
Delhi University ,110007,DELHI,DELHI
Distt Courts ,110054,DELHI,DELHI
Gulabi Bagh ,110007,DELHI,DELHI
Jagatpur ,110084,DELHI,DELHI
Jharoda Majraa ,110084,DELHI,DELHI
Kamla Nagar ,110007,DELHI,DELHI
Malka Ganj ,110007,DELHI,DELHI
Padam Nagar ,110007,DELHI,DELHI
Patrachar Vidyalay ,110054,DELHI,DELHI
R.C.A.O. ,110007,DELHI,DELHI
R K Puram (Main) ,110066,DELHI,.
R K Puram Sect-1 ,110022,DELHI,.
R K Puram Sect-12 ,110022,DELHI,.
R K Puram Sect-3 ,110022,DELHI,.
R K Puram Sect-4 ,110022,DELHI,.
R K Puram Sect-5 ,110022,DELHI,.
R K Puram Sect7 ,110022,DELHI,.
R K Puram Sect-8 ,110022,DELHI,.
R K Puram West ,110066,DELHI,.
R R Hospital ,110010,DELHI,.
S J Enclave ,110029,DELHI,.
S P School ,110074,DELHI,.
South Delhi Campus ,110021,DELHI,.
Station Road ,110010,DELHI,.
Subroto Park ,110010,DELHI,.
Sultanpur ,110030,DELHI,.
T B Hospital ,110030,DELHI,.
Technology Bhawan ,110016,DELHI,.
Vasant Kunj Pkt-A ,110070,DELHI,.
Vasant Kunj ,110070,DELHI,.
Vasant Vihar-1 ,110057,DELHI,.
Vasant Vihar-2 ,110057,DELHI,.
Signal Enclave ,110010,DELHI,/
Sarojini Nagar ,110023,DELHI,DELHI
Amberhai ,110075,DELHI,NEW DELHI
Badhosarai ,110028,DELHI,NEW DELHI
Badusarai ,110071,DELHI,NEW DELHI
Bagrola ,110077,DELHI,NEW DELHI
Baprola ,110028,DELHI,NEW DELHI
Barthal ,110077,DELHI,NEW DELHI
Chhawla ,110071,DELHI,NEW DELHI
CRPF Jharoda Kalan ,110072,DELHI,NEW DELHI
D C Goyla ,110028,DELHI,NEW DELHI
D C Nangli Sakravati ,110028,DELHI,NEW DELHI
Dabri ,110028,DELHI,NEW DELHI
Daulatpur ,110028,DELHI,NEW DELHI
Dhulsiras ,110077,DELHI,NEW DELHI
Dichaoal Kalan ,110028,DELHI,NEW DELHI
Dindarpur ,110028,DELHI,NEW DELHI
Dulsiras ,110028,DELHI,NEW DELHI
Dwarka Sec-6 ,110075,DELHI,NEW DELHI
Galib Pur ,110028,DELHI,NEW DELHI
Ghuman Hera ,110028,DELHI,NEW DELHI
Indira Park ,110028,DELHI,NEW DELHI
Indira Park ,110045,DELHI,NEW DELHI
Issapur ,110028,DELHI,NEW DELHI
Issapur ,110073,DELHI,NEW DELHI
Jafarpur ,110028,DELHI,NEW DELHI
Jharoda Kalan ,110028,DELHI,NEW DELHI
Jhatikara ,110028,DELHI,NEW DELHI
Kair ,110028,DELHI,NEW DELHI
Kair ,110043,DELHI,NEW DELHI
Kakrola ,110078,DELHI,NEW DELHI
Kangan Heri ,110028,DELHI,NEW DELHI
Khaira ,110028,DELHI,NEW DELHI
Khaira ,110043,DELHI,NEW DELHI
Khera Dabur ,110028,DELHI,NEW DELHI
Malik Pur ,110028,DELHI,NEW DELHI
Malik Pur ,110073,DELHI,NEW DELHI
Maya Puri ,110064,DELHI,NEW DELHI
Mitraon ,110028,DELHI,NEW DELHI
Mundela Kalan ,110028,DELHI,NEW DELHI
N.S.I.T. Dwarka ,110078,DELHI,NEW DELHI
Najafgarh ,110043,DELHI,NEW DELHI
Nangal Raya ,110046,DELHI,NEW DELHI
Naraina Industrial Estate ,110028,DELHI,NEW DELHI
Naraina Village ,110028,DELHI,NEW DELHI
Nasirpur ,110028,DELHI,NEW DELHI
Palam Village ,110045,DELHI,NEW DELHI
Pandwala Kalan ,110028,DELHI,NEW DELHI
Papravat ,110028,DELHI,NEW DELHI
Quazipur ,110028,DELHI,NEW DELHI
Raj Nagar - II ,110077,DELHI,NEW DELHI
Raota ,110028,DELHI,NEW DELHI
Raota ,110073,DELHI,NEW DELHI
Rewla Khanpur ,110028,DELHI,NEW DELHI
Sagarpur ,110046,DELHI,NEW DELHI
Shopping Centre Mayapuri ,110064,DELHI,NEW DELHI
Surehra ,110028,DELHI,NEW DELHI
Tilangpur Kotla ,110028,DELHI,NEW DELHI
Ujwa ,110073,DELHI,NEW DELHI
A-3 Janak Puri ,110058,DELHI,NEW DELHI
Ashok Nagar ,110018,DELHI,NEW DELHI
Ashoka Park Extn. ,110026,DELHI,NEW DELHI
B-1 Janak Puri ,110058,DELHI,NEW DELHI
Bakkarwala ,110015,DELHI,NEW DELHI
C-4 Janak Puri ,110058,DELHI,NEW DELHI
Chand Nagar ,110018,DELHI,NEW DELHI
Chaukhandi ,110015,DELHI,NEW DELHI
D. K. Mohan Garden ,110059,DELHI,NEW DELHI
D.E.S.U. Colony ,110058,DELHI,NEW DELHI
Delhi Industrial Area ,110015,DELHI,NEW DELHI
ESI ,110015,DELHI,NEW DELHI
Fateh Nagar ,110018,DELHI,NEW DELHI
Hari Nagar BE Block ,110064,DELHI,NEW DELHI
Hari Nagar Dadb Block ,110064,DELHI,NEW DELHI
Hari Nagar ,110064,DELHI,NEW DELHI
Hastal Village ,110015,DELHI,NEW DELHI
Hirankudna ,110015,DELHI,NEW DELHI
J-6 Rajouri Garden ,110027,DELHI,NEW DELHI
Jail Road ,110058,DELHI,NEW DELHI
Janta Market ,110027,DELHI,NEW DELHI
Jawala Heri ,110063,DELHI,NEW DELHI
Jeevan Park ,110015,DELHI,NEW DELHI
Jeevan Park ,110059,DELHI,NEW DELHI
Jwala Puri ,110087,DELHI,NEW DELHI
Jwalaheri ,110015,DELHI,NEW DELHI
Karam Pura ,110015,DELHI,NEW DELHI
Khyala Phase -  I ,110018,DELHI,NEW DELHI
Khyala Phase - II ,110018,DELHI,NEW DELHI
L. M. Nagar Indl. Area ,110015,DELHI,NEW DELHI
M.B.S. Nagar ,110018,DELHI,NEW DELHI
Madipur Slum Quarter ,110063,DELHI,NEW DELHI
Madipur Village ,110063,DELHI,NEW DELHI
Mahabir Nagar ,110018,DELHI,NEW DELHI
Mansarover Garden ,110015,DELHI,NEW DELHI
Matiala ,110015,DELHI,NEW DELHI
Matiala ,110059,DELHI,NEW DELHI
Mundka ,110041,DELHI,NEW DELHI
N.I.Area ,110015,DELHI,NEW DELHI
Nangloi - II ,110015,DELHI,NEW DELHI
Nangloi - III ,110041,DELHI,NEW DELHI
Nangloi ,110041,DELHI,NEW DELHI
Nilothi ,110015,DELHI,NEW DELHI
Paschim Vihar B Block ,110063,DELHI,NEW DELHI
Paschim Vihar ,110063,DELHI,NEW DELHI
Peeragarhi ,110015,DELHI,NEW DELHI
Punjabi Bagh ,110026,DELHI,NEW DELHI
Punjabi Bagh Sec - III ,110026,DELHI,NEW DELHI
Rajouri Garden ,110027,DELHI,NEW DELHI
Rajouri Market ,110027,DELHI,NEW DELHI
Ramesh Nagar ,110015,DELHI,NEW DELHI
Ranhola ,110015,DELHI,NEW DELHI
Shivaji Park ,110026,DELHI,NEW DELHI
Subhash Nagar ,110027,DELHI,NEW DELHI
Subhash Nagar West ,110027,DELHI,NEW DELHI
Sunder Vihar ,110087,DELHI,NEW DELHI
Tikri Kalan ,110015,DELHI,NEW DELHI
Tilak Nagar East ,110018,DELHI,NEW DELHI
Tilak Nagar ,110018,DELHI,NEW DELHI
Uttam Nagar ,110059,DELHI,NEW DELHI
Vikas Puri ,110018,DELHI,NEW DELHI
Vishnu Garden ,110018,DELHI,NEW DELHI
Zakhira ,110015,DELHI,NEW DELHI
Ansari Road,110002,DELHI,NEW DELHI
Aliganj ,110003,DELHI,NEW DELHI
Anand Nagar ,110005,DELHI,NEW DELHI
Army Base ,110010,DELHI,NEW DELHI
A P S Colony,110010,DELHI,NEW DELHI
A F Palam ,110010,DELHI,NEW DELHI
Ashram ,110016,DELHI,NEW DELHI
Ashoka Hotel ,110021,DELHI,NEW DELHI
Anand Niketan ,110021,DELHI,NEW DELHI
Amar Colony ,110024,DELHI,NEW DELHI
Adarsh Nagar ,110033,DELHI,NEW DELHI
A T Mills ,110033,DELHI,NEW DELHI
Anandvas Shakurpur ,110034,DELHI,NEW DELHI
Alipur ,110036,DELHI,NEW DELHI
 A F Rajokari ,110038,DELHI,NEW DELHI
 Ambrohi ,110045,DELHI,NEW DELHI
Arjan Garh ,110047,DELHI,NEW DELHI
Asian Games Village,110049,DELHI,NEW DELHI
Andrews Ganj ,110049,DELHI,NEW DELHI
Anarkali ,110051,DELHI,NEW DELHI
Ashok Vihar H O ,110052,DELHI,NEW DELHI
Amrit Kaur Market ,110055,DELHI,NEW DELHI
Ambedkar Nagar ,110062,DELHI,NEW DELHI
Bazar Road ,110010,DELHI,NEW DELHI
Bhaiparma Nand Nagar ,110033,DELHI,NEW DELHI
Bawana ,110039,DELHI,NEW DELHI
Budh Nagar ,110041,DELHI,NEW DELHI
Badli,110042,DELHI,NEW DELHI
Badarpur T P Station ,110044,DELHI,NEW DELHI
Badarpur,110044,DELHI,NEW DELHI
Bakrola ,110045,DELHI,NEW DELHI
Bharat Nagar ,110052,DELHI,NEW DELHI
Bijwasan ,110061,DELHI,NEW DELHI
B S F Camp Tigri ,110062,DELHI,NEW DELHI
Bhajan Pura ,110096,DELHI,NEW DELHI
Central Ordinance ,110010,DELHI,NEW DELHI
Central Vehicle ,110010,DELHI,NEW DELHI
Central Tractor ,110012,DELHI,NEW DELHI
Central Kirti Nagar ,110015,DELHI,NEW DELHI
 C R R I ,110020,DELHI,NEW DELHI
Chankyapuri ,110021,DELHI,NEW DELHI
C R P F Camp ,110054,DELHI,NEW DELHI
Chilla Villege ,110094,DELHI,NEW DELHI
Depot ,110010,DELHI,NEW DELHI
Dhaula Khuan ,110010,DELHI,NEW DELHI
Delhi Cantt ,110010,DELHI,NEW DELHI
Defence Head Qrs,110011,DELHI,NEW DELHI
Dargah Shareef ,110013,DELHI,NEW DELHI
Delhi Cloth Mills ,110006,DELHI,NEW DELHI
 D I Area ,110015,DELHI,NEW DELHI
Defence Colony ,110024,DELHI,NEW DELHI
Dakshinpuri Phase Iii ,110062,DELHI,NEW DELHI
Dakshimpuri Phase I ,110062,DELHI,NEW DELHI
D D A Munirka ,110067,DELHI,NEW DELHI
D D A Salam ,110072,DELHI,NEW DELHI
Eastern Court ,110001,DELHI,NEW DELHI
East Of Kailash ,110065,DELHI,NEW DELHI
Farashkhana ,110006,DELHI,NEW DELHI
Fatehpuri,110006,DELHI,NEW DELHI
Gandhi Samarak ,110002,DELHI,NEW DELHI
Golf Links ,110003,DELHI,NEW DELHI
Green Park Market ,110016,DELHI,NEW DELHI
Green Park ,110016,DELHI,NEW DELHI
Govindpuri,110019,DELHI,NEW DELHI
Gujranwala Nagar Part Ii ,110033,DELHI,NEW DELHI
G T S Nagar ,110033,DELHI,NEW DELHI
Ganeshpuri ,110035,DELHI,NEW DELHI
Gurgaon Road ,110037,DELHI,NEW DELHI
Greater Kailash Ii,110048,DELHI,NEW DELHI
Greater Kailash ,110048,DELHI,NEW DELHI
Guatam Nagar ,110049,DELHI,NEW DELHI
Gulmohar Park ,110049,DELHI,NEW DELHI
Hazrat Nizamuddin ,110013,DELHI,NEW DELHI
Hari Nagar Ashram ,110014,DELHI,NEW DELHI
 Hauz Khas Market ,110016,DELHI,NEW DELHI
Hauz Khas,110016,DELHI,NEW DELHI
Himayunpur Extn ,110029,DELHI,NEW DELHI
Harijan Sewak Sangh ,110033,DELHI,NEW DELHI
Haiderpur,110042,DELHI,NEW DELHI
Hamdard Nagar,110062,DELHI,NEW DELHI
Hamdard Dawakhana ,110006,DELHI,NEW DELHI
Indian Agriculture,110002,DELHI,NEW DELHI
Industrial Area ,110005,DELHI,NEW DELHI
Idgah Road I S B T ,110006,DELHI,NEW DELHI
 Industrial Area ,110015,DELHI,NEW DELHI
I I T Hauz Khas ,110016,DELHI,NEW DELHI
Inderlok ,110035,DELHI,NEW DELHI
Jawahar Lal Nehru Stadium,110003,DELHI,NEW DELHI
Joshi Nagar ,110005,DELHI,NEW DELHI
Jama Masjid ,110006,DELHI,NEW DELHI
Jangpura ,110014,DELHI,NEW DELHI
Jamia Nagar ,110025,DELHI,NEW DELHI
 J J Colony,110027,DELHI,NEW DELHI
Jahangirpuri Block H,110033,DELHI,NEW DELHI
Jahangirpuri Block D,110033,DELHI,NEW DELHI
Jahangirpuri Block A,110033,DELHI,NEW DELHI
Jaroda Majra ,110033,DELHI,NEW DELHI
Jawalpuri ,110041,DELHI,NEW DELHI
Janakpuri Block C 4 ,110058,DELHI,NEW DELHI
 Janakpuri,110058,DELHI,NEW DELHI
Janakpuri Block D 1 ,110058,DELHI,NEW DELHI
Janakpuri Blockc 2 ,110058,DELHI,NEW DELHI
Jawahar Lal Nehru Univers ,110067,DELHI,NEW DELHI
